country,year,strike.volume,unemployment,inflation,left.parliament,centralization,density
Austrlia,1951,296,1.3,19.8,43,0.375,NA
Austrlia,1952,397,2.2,17.2,43,0.375,NA
Austrlia,1953,360,2.5,4.3,43,0.375,NA
Austrlia,1954,3,1.7,0.7,47,0.375,NA
Austrlia,1955,326,1.4,2,38.5,0.375,NA
Austrlia,1956,352,1.8,6.3,38.5,0.375,NA
Austrlia,1957,195,2.3,2.5,38.5,0.375,NA
Austrlia,1958,133,2.7,1.3,36.9,0.375,NA
Austrlia,1959,109,2.6,1.8,36.9,0.375,NA
Austrlia,1960,208,2.5,3.8,36.9,0.375,50.2
Austrlia,1961,173,2.5,2.5,49.2,0.375,49.5
Austrlia,1962,142,2.6,-0.3,49.2,0.375,49.5
Austrlia,1963,158,2.1,0.5,41,0.375,49.2
Austrlia,1964,243,1.6,2.4,41,0.375,48.2
Austrlia,1965,211,1.5,4,41,0.375,47.9
Austrlia,1966,183,1.7,3,33.1,0.375,45.8
Austrlia,1967,168,1.9,3.2,33.1,0.375,45.0
Austrlia,1968,249,1.8,2.7,33.1,0.375,44.8
Austrlia,1969,439,1.8,2.9,47.2,0.375,44.4
Austrlia,1970,515,1.6,3.9,47.2,0.375,44.2
Austrlia,1971,645,1.9,6.1,47.2,0.375,45.4
Austrlia,1972,416,2.6,5.9,53.6,0.375,46.3
Austrlia,1973,527,2.3,9.5,53.6,0.375,47.2
Austrlia,1974,1252,2.6,15.1,52,0.375,48.8
Austrlia,1975,702,4.8,15.1,28.3,0.375,50.1
Austrlia,1976,760,4.7,13.5,28.3,0.375,50.2
Austrlia,1977,328,5.6,12.3,30.7,0.375,49.8
Austrlia,1978,421,6.4,7.9,30.7,0.375,49.8
Austrlia,1979,778,6.1,9.1,30.7,0.375,49.8
Austrlia,1980,633,6,10.1,40.8,0.375,48.7
Austrlia,1981,779,5.7,9.7,40.8,0.375,47.6
Austrlia,1982,370,7,11.2,40.8,0.375,48.0
Austrlia,1983,313,9.8,10.1,60,0.375,48.5
Austrlia,1984,241,8.9,4,55.4,0.375,47.6
Austrlia,1985,226,8.2,6.7,55.4,0.375,45.9
Austria,1951,43,3.5,27.5,43.6,1.000,NA
Austria,1952,39,4.7,13.6,43.6,1.000,NA
Austria,1953,20,5.8,-1.6,46.7,1.000,NA
Austria,1954,26,4.9,4,46.7,1.000,NA
Austria,1955,28,3.6,0,46.7,1.000,NA
Austria,1956,72,3.5,3.9,46.7,1.000,NA
Austria,1957,21,3.3,2.8,46.7,1.000,NA
Austria,1958,22,3.6,2,46.7,1.000,NA
Austria,1959,23,3.3,1.1,47.3,1.000,NA
Austria,1960,30,2.5,2,47.3,1.000,67.9
Austria,1961,49,2,3.5,47.3,1.000,67.3
Austria,1962,277,1.9,4.4,46.1,1.000,66.7
Austria,1963,15,2.1,2.7,46.1,1.000,67.1
Austria,1964,15,1.9,3.9,46.1,1.000,66.6
Austria,1965,64,1.9,4.9,46.1,1.000,66.2
Austria,1966,30,1.8,2.2,47.9,1.000,65.8
Austria,1967,7,1.8,4,47.9,1.000,65.1
Austria,1968,3,2,2.8,47.9,1.000,62.1
Austria,1969,8,1.8,3.1,47.9,1.000,63.1
Austria,1970,11,1.5,4.4,49.1,1.000,62.8
Austria,1971,2,1.2,4.7,49.1,1.000,61.9
Austria,1972,6,1.1,6.4,50.8,1.000,61.0
Austria,1973,61,1,7.5,50.8,1.000,60.8
Austria,1974,3,1.1,9.5,50.8,1.000,57.9
Austria,1975,2,1.7,8.5,50.8,1.000,59.0
Austria,1976,0,1.7,7.3,50.8,1.000,59.2
Austria,1977,0,1.6,5.5,50.8,1.000,58.6
Austria,1978,4,1.8,3.6,50.8,1.000,57.6
Austria,1979,0,1.7,3.7,51.9,1.000,56.7
Austria,1980,6,1.6,6.3,51.9,1.000,56.7
Austria,1981,1,2.1,6.8,51.9,1.000,56.4
Austria,1982,0,3.1,5.4,51.9,1.000,53.8
Austria,1983,0,3.8,3.3,49.2,1.000,53.6
Austria,1984,0,3.9,5.7,49.2,1.000,52.1
Austria,1985,8,4.1,3.2,49.2,1.000,51.6
Belgium,1951,242,4.5,9.6,39.6,0.750,NA
Belgium,1952,356,5.2,0.9,39.6,0.750,NA
Belgium,1953,170,5.5,-0.3,39.6,0.750,NA
Belgium,1954,182,5.2,1.3,42.5,0.750,NA
Belgium,1955,403,4,-0.5,42.5,0.750,NA
Belgium,1956,372,2.9,2.8,42.5,0.750,NA
Belgium,1957,1453,2.4,3.2,42.5,0.750,NA
Belgium,1958,114,3.4,1.3,40.6,0.750,NA
Belgium,1959,383,4.1,1.2,40.6,0.750,NA
Belgium,1960,129,3.4,0.3,40.6,0.750,41.5
Belgium,1961,35,2.7,1,42,0.750,40.4
Belgium,1962,1,2.1,1.4,42,0.750,38.9
Belgium,1963,90,1.7,2.2,42,0.750,39.8
Belgium,1964,157,1.5,4.2,42,0.750,39.3
Belgium,1965,25,1.7,4.1,33,0.750,39.9
Belgium,1966,189,1.8,4.2,33,0.750,40.3
Belgium,1967,64,2.5,2.9,33,0.750,41.2
Belgium,1968,129,2.9,2.7,30.2,0.750,42.0
Belgium,1969,56,2.3,3.8,30.2,0.750,42.0
Belgium,1970,483,1.9,3.9,30.2,0.750,42.1
Belgium,1971,410,1.8,4.3,30.2,0.750,43.9
Belgium,1972,117,2.3,5.5,31.1,0.750,46.8
Belgium,1973,282,2.3,7,31.1,0.750,48.0
Belgium,1974,184,2.4,12.7,29.7,0.750,49.1
Belgium,1975,196,4.4,12.8,29.7,0.750,51.9
Belgium,1976,291,5.8,9.2,29.7,0.750,53.4
Belgium,1977,216,6.6,7.1,30.2,0.750,54.3
Belgium,1978,325,7.1,4.5,30.2,0.750,53.4
Belgium,1979,197,7.3,4.5,29.3,0.750,53.5
Belgium,1980,69,7.7,6.7,29.3,0.750,54.1
Canada,1951,242,2.4,10.4,78.7,0.000,NA
Canada,1952,5918,2.9,2.5,78.7,0.000,NA
Canada,1953,335,2.9,-0.9,73.5,0.000,NA
Canada,1954,372,4.5,0.6,73.5,0.000,NA
Canada,1955,454,4.3,0.2,73.5,0.000,NA
Canada,1956,284,3.3,1.4,73.5,0.000,NA
Canada,1957,325,4.5,3.2,49,0.000,NA
Canada,1958,618,6.9,2.6,21.5,0.000,NA
Canada,1959,470,5.9,1.1,21.5,0.000,NA
Canada,1960,153,6.9,1.3,21.5,0.000,29.2
Canada,1961,28,7.1,0.9,21.5,0.000,28.5
Canada,1962,279,5.4,1.2,44.9,0.000,27.1
Canada,1963,175,5.1,1.8,55.1,0.000,26.8
Canada,1964,289,4.3,1.8,55.1,0.000,26.4
Canada,1965,408,3.6,2.5,57.3,0.000,26.7
Canada,1966,849,3.3,3.7,57.3,0.000,27.6
Canada,1967,612,3.8,3.6,57.3,0.000,29.6
Canada,1968,762,4.4,4.1,67,0.000,30.2
Canada,1969,1125,4.4,4.5,67,0.000,30.1
Canada,1970,934,5.6,3.4,67,0.000,31.0
Canada,1971,399,6.1,2.8,67,0.000,30.8
Canada,1972,1041,6.2,4.8,53,0.000,31.8
Canada,1973,732,5.5,7.6,53,0.000,33.1
Canada,1974,1121,5.3,10.9,59,0.000,33.1
Canada,1975,1303,6.9,10.8,59,0.000,34.3
Canada,1976,1359,7.1,7.5,59,0.000,34.5
Canada,1977,381,8,8,59,0.000,35.1
Canada,1978,826,8.3,8.9,59,0.000,35.5
Canada,1979,841,7.4,9.1,49.6,0.000,34.6
Canada,1980,930,7.4,10.2,63.4,0.000,34.0
Canada,1981,894,7.5,12.5,63.4,0.000,33.9
Canada,1982,605,10.9,10.8,63.4,0.000,36.8
Canada,1983,462,11.8,5.8,63.4,0.000,35.9
Canada,1984,393,11.2,4.3,24.8,0.000,35.9
Canada,1985,315,10.4,4,24.8,0.000,35.3
Denmark,1951,3,9.7,10.5,44.6,0.500,NA
Denmark,1952,3,12.5,3.8,44.6,0.500,NA
Denmark,1953,2,9.2,0.9,45.6,0.500,NA
Denmark,1954,17,9,0,46.9,0.500,NA
Denmark,1955,7,9.7,5.5,46.9,0.500,NA
Denmark,1956,789,11.1,6,46.9,0.500,NA
Denmark,1957,5,9.9,2.7,43.4,0.500,NA
Denmark,1958,6,9.2,0.7,43.4,0.500,NA
Denmark,1959,12,5.9,1.7,43.4,0.500,NA
Denmark,1960,41,4.2,1.3,43.4,0.500,56.9
Denmark,1961,1486,3.3,3.5,49.7,0.500,57.8
Denmark,1962,9,1.8,7.4,49.7,0.500,58.1
Denmark,1963,15,2,6.1,49.7,0.500,58.5
Denmark,1964,11,1.4,3.1,49.7,0.500,58.5
Denmark,1965,143,1.2,5.5,49.1,0.500,58.2
Denmark,1966,9,1.4,7.1,50.9,0.500,58.1
Denmark,1967,6,1.2,8.2,50.9,0.500,57.4
Denmark,1968,19,1.2,8,44,0.500,58.2
Denmark,1969,31,1.1,3.5,44,0.500,59.2
Denmark,1970,56,0.7,6.5,44,0.500,60.3
Denmark,1971,11,1.1,5.9,44,0.500,62.2
Denmark,1972,11,0.9,6.6,49.7,0.500,61.5
Denmark,1973,2001,0.9,9.3,49.7,0.500,62.2
Denmark,1974,94,3.5,15.3,36,0.500,65.2
Denmark,1975,52,4.9,9.6,41.7,0.500,68.9
Denmark,1976,107,6.3,9,41.7,0.500,73.0
Denmark,1977,115,7.3,11.1,48,0.500,74.1
Denmark,1978,64,8.3,10,48,0.500,77.8
Denmark,1979,84,6,9.6,48,0.500,77.1
Denmark,1980,90,6.5,12.3,48.6,0.500,78.6
Denmark,1981,319,10.3,11.7,48.6,0.500,79.9
Denmark,1982,45,11,10.1,48,0.500,80.2
Denmark,1983,38,11.4,6.9,48,0.500,80.8
Denmark,1984,62,8.5,6.3,46.9,0.500,79.3
Denmark,1985,1056,7.3,4.7,46.9,0.500,78.2
